######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 1146/1352 for chr20:	MTRNR2L3
gene 1147/1352 for chr20:	RP4-800J21.3
gene 1148/1352 for chr20:	RBM38
gene 1149/1352 for chr20:	HMGB1P1
gene 1150/1352 for chr20:	CTCFL
gene 1151/1352 for chr20:	PCK1
gene 1152/1352 for chr20:	RP4-718J7.4
gene 1153/1352 for chr20:	ZBP1
gene 1154/1352 for chr20:	PMEPA1
gene 1155/1352 for chr20:	NKILA
gene 1156/1352 for chr20:	MIR4532
gene 1157/1352 for chr20:	RP13-379L11.2
gene 1158/1352 for chr20:	RP13-379L11.4
gene 1159/1352 for chr20:	RP13-379L11.1
gene 1160/1352 for chr20:	RP13-379L11.3
gene 1161/1352 for chr20:	C20orf85
gene 1162/1352 for chr20:	ANKRD60
gene 1163/1352 for chr20:	PPP4R1L
gene 1164/1352 for chr20:	RAB22A
gene 1165/1352 for chr20:	VAPB
gene 1166/1352 for chr20:	APCDD1L
gene 1167/1352 for chr20:	APCDD1L-AS1
gene 1168/1352 for chr20:	RP5-907D15.3
gene 1169/1352 for chr20:	RP5-907D15.4
gene 1170/1352 for chr20:	STX16
gene 1171/1352 for chr20:	STX16-NPEPL1
gene 1172/1352 for chr20:	NPEPL1
gene 1173/1352 for chr20:	RP11-261P9.4
gene 1174/1352 for chr20:	PIEZO1P2
gene 1175/1352 for chr20:	RP4-806M20.5
gene 1176/1352 for chr20:	MIR296
gene 1177/1352 for chr20:	MIR298
gene 1178/1352 for chr20:	GNAS-AS1
gene 1179/1352 for chr20:	RP4-806M20.3
gene 1180/1352 for chr20:	GNAS
gene 1181/1352 for chr20:	GNAS-AS1_1
gene 1182/1352 for chr20:	GNAS-AS1_2
gene 1183/1352 for chr20:	GNAS-AS1_4
gene 1184/1352 for chr20:	GNAS-AS1_5
gene 1185/1352 for chr20:	RP1-309F20.3
gene 1186/1352 for chr20:	RP1-309F20.4
gene 1187/1352 for chr20:	NELFCD
gene 1188/1352 for chr20:	CTSZ
gene 1189/1352 for chr20:	TUBB1
gene 1190/1352 for chr20:	ATP5E
gene 1191/1352 for chr20:	PRELID3B
gene 1192/1352 for chr20:	MRPS16P2
gene 1193/1352 for chr20:	ZNF831
gene 1194/1352 for chr20:	EDN3
gene 1195/1352 for chr20:	RP4-614C15.2
gene 1196/1352 for chr20:	RP4-614C15.3
gene 1197/1352 for chr20:	PIEZO1P1
gene 1198/1352 for chr20:	RP11-164D18.2
gene 1199/1352 for chr20:	PHACTR3
gene 1200/1352 for chr20:	RP4-719C8.1
gene 1201/1352 for chr20:	RNU7-141P
gene 1202/1352 for chr20:	SYCP2
gene 1203/1352 for chr20:	FAM217B
gene 1204/1352 for chr20:	PPP1R3D
gene 1205/1352 for chr20:	CDH26
gene 1206/1352 for chr20:	C20orf197
gene 1207/1352 for chr20:	RP5-1017F8.2
gene 1208/1352 for chr20:	MIR646HG
gene 1209/1352 for chr20:	MIR646
gene 1210/1352 for chr20:	MTCO2P1
gene 1211/1352 for chr20:	MIR4533
gene 1212/1352 for chr20:	MIR548AG2
gene 1213/1352 for chr20:	RP5-1016A21.1
gene 1214/1352 for chr20:	RP11-151E14.1
gene 1215/1352 for chr20:	RP5-827L5.2
gene 1216/1352 for chr20:	RP5-827L5.1
gene 1217/1352 for chr20:	CDH4
gene 1218/1352 for chr20:	WI2-8325B5.1
gene 1219/1352 for chr20:	RP5-827E24.1
gene 1220/1352 for chr20:	RP11-429E11.3
gene 1221/1352 for chr20:	RP11-429E11.2
gene 1222/1352 for chr20:	TAF4
gene 1223/1352 for chr20:	RP11-11M20.2
gene 1224/1352 for chr20:	MIR3195
gene 1225/1352 for chr20:	RP11-11M20.4
gene 1226/1352 for chr20:	LSM14B
gene 1227/1352 for chr20:	PSMA7
gene 1228/1352 for chr20:	SS18L1
gene 1229/1352 for chr20:	MTG2
gene 1230/1352 for chr20:	HRH3
gene 1231/1352 for chr20:	OSBPL2
gene 1232/1352 for chr20:	ADRM1
gene 1233/1352 for chr20:	RP11-157P1.4
gene 1234/1352 for chr20:	LAMA5
gene 1235/1352 for chr20:	LAMA5-AS1
gene 1236/1352 for chr20:	RP5-908M14.9
gene 1237/1352 for chr20:	RPS21
gene 1238/1352 for chr20:	CABLES2
gene 1239/1352 for chr20:	RP5-908M14.10
gene 1240/1352 for chr20:	RBBP8NL
gene 1241/1352 for chr20:	RP5-908M14.5
gene 1242/1352 for chr20:	GATA5
gene 1243/1352 for chr20:	RP13-379O24.3
gene 1244/1352 for chr20:	RP13-379O24.2
gene 1245/1352 for chr20:	C20orf166-AS1
gene 1246/1352 for chr20:	MIR1-1HG
gene 1247/1352 for chr20:	MIR1-1
gene 1248/1352 for chr20:	RPL7P3
gene 1249/1352 for chr20:	WI2-87327B8.1
gene 1250/1352 for chr20:	WI2-87327B8.2
gene 1251/1352 for chr20:	RP13-30A9.1
gene 1252/1352 for chr20:	RP13-30A9.2
gene 1253/1352 for chr20:	RP11-93B14.6
gene 1254/1352 for chr20:	SLCO4A1
gene 1255/1352 for chr20:	RP11-93B14.9
gene 1256/1352 for chr20:	RP11-93B14.10
gene 1257/1352 for chr20:	SLCO4A1-AS1
gene 1258/1352 for chr20:	LINC00686
gene 1259/1352 for chr20:	NTSR1
gene 1260/1352 for chr20:	RP11-93B14.4
gene 1261/1352 for chr20:	LINC00659
gene 1262/1352 for chr20:	MRGBP
gene 1263/1352 for chr20:	OGFR-AS1
gene 1264/1352 for chr20:	OGFR
gene 1265/1352 for chr20:	COL9A3
gene 1266/1352 for chr20:	TCFL5
gene 1267/1352 for chr20:	DPH3P1
gene 1268/1352 for chr20:	ARF4P2
gene 1269/1352 for chr20:	DIDO1
gene 1270/1352 for chr20:	RP4-563E14.1
gene 1271/1352 for chr20:	GID8
gene 1272/1352 for chr20:	SLC17A9
gene 1273/1352 for chr20:	BHLHE23
gene 1274/1352 for chr20:	RP11-305P22.9
gene 1275/1352 for chr20:	LINC00029
gene 1276/1352 for chr20:	LINC01056
gene 1277/1352 for chr20:	HAR1B
gene 1278/1352 for chr20:	HAR1A
gene 1279/1352 for chr20:	RP5-963E22.5
gene 1280/1352 for chr20:	RP5-963E22.4
gene 1281/1352 for chr20:	MIR124-3
gene 1282/1352 for chr20:	YTHDF1
gene 1283/1352 for chr20:	RP5-963E22.6
gene 1284/1352 for chr20:	BIRC7
gene 1285/1352 for chr20:	MIR3196
gene 1286/1352 for chr20:	NKAIN4
gene 1287/1352 for chr20:	FLJ16779
gene 1288/1352 for chr20:	ARFGAP1
gene 1289/1352 for chr20:	MIR4326
gene 1290/1352 for chr20:	COL20A1
gene 1291/1352 for chr20:	RNU6-994P
gene 1292/1352 for chr20:	CHRNA4
gene 1293/1352 for chr20:	RP11-261N11.8
gene 1294/1352 for chr20:	KCNQ2
gene 1295/1352 for chr20:	RP11-358D14.3
gene 1296/1352 for chr20:	RP11-358D14.2
gene 1297/1352 for chr20:	EEF1A2
gene 1298/1352 for chr20:	RP4-697K14.3
gene 1299/1352 for chr20:	PPDPF
gene 1300/1352 for chr20:	PTK6
gene 1301/1352 for chr20:	SRMS
gene 1302/1352 for chr20:	RP4-697K14.15
gene 1303/1352 for chr20:	FNDC11
gene 1304/1352 for chr20:	HELZ2
gene 1305/1352 for chr20:	GMEB2
gene 1306/1352 for chr20:	CTD-3184A7.4
gene 1307/1352 for chr20:	STMN3
gene 1308/1352 for chr20:	RTEL1
gene 1309/1352 for chr20:	RTEL1-TNFRSF6B
gene 1310/1352 for chr20:	TNFRSF6B
gene 1311/1352 for chr20:	ARFRP1
gene 1312/1352 for chr20:	ZGPAT
gene 1313/1352 for chr20:	RP4-583P15.15
gene 1314/1352 for chr20:	RP4-583P15.16
gene 1315/1352 for chr20:	LIME1
gene 1316/1352 for chr20:	RP4-583P15.14
gene 1317/1352 for chr20:	SLC2A4RG
gene 1318/1352 for chr20:	ZBTB46
gene 1319/1352 for chr20:	RP4-583P15.10
gene 1320/1352 for chr20:	ZBTB46-AS1
gene 1321/1352 for chr20:	C20orf181
gene 1322/1352 for chr20:	RP4-591C20.9
gene 1323/1352 for chr20:	ABHD16B
gene 1324/1352 for chr20:	TPD52L2
gene 1325/1352 for chr20:	DNAJC5
gene 1326/1352 for chr20:	RNU1-134P
gene 1327/1352 for chr20:	MIR941-1
gene 1328/1352 for chr20:	MIR941-2
gene 1329/1352 for chr20:	MIR941-3
gene 1330/1352 for chr20:	MIR941-4
gene 1331/1352 for chr20:	MIR941-5
gene 1332/1352 for chr20:	UCKL1
gene 1333/1352 for chr20:	MIR647
gene 1334/1352 for chr20:	UCKL1-AS1
gene 1335/1352 for chr20:	ZNF512B
gene 1336/1352 for chr20:	SAMD10
gene 1337/1352 for chr20:	PRPF6
gene 1338/1352 for chr20:	LINC00176
gene 1339/1352 for chr20:	SOX18
gene 1340/1352 for chr20:	TCEA2
gene 1341/1352 for chr20:	RP13-152O15.5
gene 1342/1352 for chr20:	RGS19
gene 1343/1352 for chr20:	MIR6813
gene 1344/1352 for chr20:	OPRL1
gene 1345/1352 for chr20:	LKAAEAR1
gene 1346/1352 for chr20:	NPBWR2
gene 1347/1352 for chr20:	MYT1
gene 1348/1352 for chr20:	PCMTD2
gene 1349/1352 for chr20:	RP11-476I15.5
gene 1350/1352 for chr20:	CICP4
gene 1351/1352 for chr20:	LINC00266-1
gene 1352/1352 for chr20:	RP11-476I15.6
######## Chromosome chr21 #########

gene 1/814 for chr21:	CH507-9B2.2
gene 2/814 for chr21:	CH507-9B2.1
gene 3/814 for chr21:	CH507-9B2.8
gene 4/814 for chr21:	CH507-9B2.3
gene 5/814 for chr21:	CH507-9B2.4
gene 6/814 for chr21:	CH507-9B2.5
gene 7/814 for chr21:	CH507-9B2.9
gene 8/814 for chr21:	RP11-717F1.1
gene 9/814 for chr21:	CH507-24F1.1
gene 10/814 for chr21:	RP11-717F1.2
gene 11/814 for chr21:	Y_RNA
gene 12/814 for chr21:	CH507-39O4.3
gene 13/814 for chr21:	CH507-39O4.1
gene 14/814 for chr21:	CH507-39O4.2
gene 15/814 for chr21:	CH507-42P11.1
gene 16/814 for chr21:	CH507-42P11.2
gene 17/814 for chr21:	CH507-42P11.3
gene 18/814 for chr21:	CH507-42P11.5
gene 19/814 for chr21:	CH507-42P11.7
gene 20/814 for chr21:	CH507-42P11.6
gene 21/814 for chr21:	CH507-42P11.8
gene 22/814 for chr21:	CH507-24F1.2
gene 23/814 for chr21:	CH507-145C22.2
gene 24/814 for chr21:	CH507-254M2.4
gene 25/814 for chr21:	CH507-145C22.1
gene 26/814 for chr21:	CBSL
gene 27/814 for chr21:	U2AF1L5
gene 28/814 for chr21:	CH507-152C13.4
gene 29/814 for chr21:	CH507-152C13.5
gene 30/814 for chr21:	CH507-152C13.6
gene 31/814 for chr21:	CH507-152C13.3
gene 32/814 for chr21:	CH507-154B10.1
gene 33/814 for chr21:	CH507-145C22.3
gene 34/814 for chr21:	CH507-154B10.3
gene 35/814 for chr21:	CH507-236L23.5
gene 36/814 for chr21:	CH507-254M2.3
gene 37/814 for chr21:	CH507-210P18.1
gene 38/814 for chr21:	MIR8069-1
gene 39/814 for chr21:	CH507-210P18.3
gene 40/814 for chr21:	CH507-210P18.5
gene 41/814 for chr21:	CH507-154B10.2
gene 42/814 for chr21:	CH507-145C22.4
gene 43/814 for chr21:	CH507-236L23.4
gene 44/814 for chr21:	CH507-236L23.1
gene 45/814 for chr21:	CH507-254M2.1
gene 46/814 for chr21:	CH507-236L23.2
gene 47/814 for chr21:	CH507-236L23.3
gene 48/814 for chr21:	CH507-254M2.5
gene 49/814 for chr21:	CH507-254M2.6
gene 50/814 for chr21:	CH507-254M2.2
gene 51/814 for chr21:	CH507-338C24.2
gene 52/814 for chr21:	CH507-338C24.1
gene 53/814 for chr21:	SMIM11B
gene 54/814 for chr21:	CH507-396I9.7
gene 55/814 for chr21:	CH507-396I9.3
gene 56/814 for chr21:	KCNE1B
gene 57/814 for chr21:	SNORA11
gene 58/814 for chr21:	CH507-338C24.3
gene 59/814 for chr21:	CH507-513H4.1
gene 60/814 for chr21:	MIR6724-1
gene 61/814 for chr21:	pRNA
gene 62/814 for chr21:	MIR3648-1
gene 63/814 for chr21:	MIR3687-1
gene 64/814 for chr21:	CH507-513H4.6
gene 65/814 for chr21:	RNA5-8S5
gene 66/814 for chr21:	MIR6724-2
gene 67/814 for chr21:	CH507-513H4.5
gene 68/814 for chr21:	CH507-528H12.1
gene 69/814 for chr21:	MIR6724-3
gene 70/814 for chr21:	CH507-513H4.4
gene 71/814 for chr21:	MIR6724-4
gene 72/814 for chr21:	CH507-513H4.3
gene 73/814 for chr21:	RPSAP68
gene 74/814 for chr21:	bP-2168N6.1
gene 75/814 for chr21:	bP-2168N6.3
gene 76/814 for chr21:	bP-2189O9.3
gene 77/814 for chr21:	SNX18P10
gene 78/814 for chr21:	MTCO1P1
gene 79/814 for chr21:	bP-2189O9.2
gene 80/814 for chr21:	MIR3648-2
gene 81/814 for chr21:	MIR3687-2
gene 82/814 for chr21:	bP-2171C21.3
gene 83/814 for chr21:	bP-2171C21.4
gene 84/814 for chr21:	bP-2171C21.2
gene 85/814 for chr21:	TEKT4P2
gene 86/814 for chr21:	bP-2171C21.6
gene 87/814 for chr21:	bP-2171C21.5
gene 88/814 for chr21:	bP-21264C1.2
gene 89/814 for chr21:	SNX18P12
gene 90/814 for chr21:	bP-21264C1.1
gene 91/814 for chr21:	RP11-570J4.1
gene 92/814 for chr21:	RP11-570J4.2
gene 93/814 for chr21:	U1
gene 94/814 for chr21:	MGC39584
gene 95/814 for chr21:	RP11-555K2.1
gene 96/814 for chr21:	RP11-555K2.2
gene 97/814 for chr21:	RN7SL52P
gene 98/814 for chr21:	SNORA70
gene 99/814 for chr21:	RP11-555K2.4
gene 100/814 for chr21:	bP-21201H5.1
gene 101/814 for chr21:	bP-21201H5.2
gene 102/814 for chr21:	CH507-216K13.2
gene 103/814 for chr21:	CH507-216K13.1
gene 104/814 for chr21:	AP003900.6
gene 105/814 for chr21:	EIF3FP1
gene 106/814 for chr21:	VN1R7P
gene 107/814 for chr21:	RP11-589M2.1
gene 108/814 for chr21:	BAGE2
gene 109/814 for chr21:	AL078471.5
gene 110/814 for chr21:	TPTE
gene 111/814 for chr21:	CYCSP41
gene 112/814 for chr21:	SLC25A15P4
gene 113/814 for chr21:	AF254982.2
gene 114/814 for chr21:	IGHV1OR21-1
gene 115/814 for chr21:	AP001464.4
gene 116/814 for chr21:	ANKRD30BP2
gene 117/814 for chr21:	RNU6-614P
gene 118/814 for chr21:	ZNF355P
gene 119/814 for chr21:	AJ239321.3
gene 120/814 for chr21:	AJ239318.1
gene 121/814 for chr21:	FGF7P2
gene 122/814 for chr21:	ANKRD30BP1
gene 123/814 for chr21:	MIR3156-3
gene 124/814 for chr21:	GTF2IP2
gene 125/814 for chr21:	VN1R8P
gene 126/814 for chr21:	SNX19P1
gene 127/814 for chr21:	OR4K11P
gene 128/814 for chr21:	AP001465.5
gene 129/814 for chr21:	OR4K12P
gene 130/814 for chr21:	POTED
gene 131/814 for chr21:	RNU6-286P
gene 132/814 for chr21:	MIR3118-1
gene 133/814 for chr21:	AL050303.11
gene 134/814 for chr21:	GRAMD4P1
gene 135/814 for chr21:	CXADRP1
gene 136/814 for chr21:	AL050303.10
gene 137/814 for chr21:	AL050303.12
gene 138/814 for chr21:	MIR8069-2
gene 139/814 for chr21:	FEM1AP1
gene 140/814 for chr21:	AL050303.7
gene 141/814 for chr21:	TERF1P1
gene 142/814 for chr21:	FAM207CP
gene 143/814 for chr21:	GXYLT1P2
gene 144/814 for chr21:	CNN2P7
gene 145/814 for chr21:	ZNF114P1
gene 146/814 for chr21:	CYP4F29P
gene 147/814 for chr21:	SNX18P13
gene 148/814 for chr21:	ANKRD20A11P
gene 149/814 for chr21:	RHOT1P2
gene 150/814 for chr21:	RNU6-954P
gene 151/814 for chr21:	NF1P3
gene 152/814 for chr21:	PPP6R2P1
gene 153/814 for chr21:	FRG2MP
gene 154/814 for chr21:	AP001347.6
gene 155/814 for chr21:	ANKRD20A18P
gene 156/814 for chr21:	RNA5SP488
gene 157/814 for chr21:	LIPI
gene 158/814 for chr21:	ERLEC1P1
gene 159/814 for chr21:	RBM11
gene 160/814 for chr21:	ABCC13
gene 161/814 for chr21:	HSPA13
gene 162/814 for chr21:	SAMSN1
gene 163/814 for chr21:	SAMSN1-AS1
gene 164/814 for chr21:	AF165138.7
gene 165/814 for chr21:	AF127936.3
gene 166/814 for chr21:	POLR2CP1
gene 167/814 for chr21:	AF127936.5
gene 168/814 for chr21:	GAPDHP16
gene 169/814 for chr21:	AF127936.9
gene 170/814 for chr21:	AF127936.7
gene 171/814 for chr21:	RBMX2P1
gene 172/814 for chr21:	AF127577.8
gene 173/814 for chr21:	NRIP1
gene 174/814 for chr21:	AF127577.10
gene 175/814 for chr21:	AF127577.11
gene 176/814 for chr21:	AF127577.13
gene 177/814 for chr21:	AF127577.12
gene 178/814 for chr21:	AF246928.1
gene 179/814 for chr21:	AJ006998.2
gene 180/814 for chr21:	CYCSP42
gene 181/814 for chr21:	AJ009632.3
gene 182/814 for chr21:	RNU6-1326P
gene 183/814 for chr21:	RAD23BLP
gene 184/814 for chr21:	USP25
gene 185/814 for chr21:	RBPMSLP
gene 186/814 for chr21:	MIR99AHG
gene 187/814 for chr21:	RNU6-426P
gene 188/814 for chr21:	VDAC2P1
gene 189/814 for chr21:	RPS26P5
gene 190/814 for chr21:	SNORD74
gene 191/814 for chr21:	AP001172.2
gene 192/814 for chr21:	AP001172.3
gene 193/814 for chr21:	AP000962.1
gene 194/814 for chr21:	MIR99A
gene 195/814 for chr21:	MIRLET7C
gene 196/814 for chr21:	AP000962.2
gene 197/814 for chr21:	MIR125B2
gene 198/814 for chr21:	AP000473.5
gene 199/814 for chr21:	AP000473.8
gene 200/814 for chr21:	RNU1-98P
gene 201/814 for chr21:	AP000473.6
gene 202/814 for chr21:	AF212831.2
gene 203/814 for chr21:	NEK4P1
gene 204/814 for chr21:	AP000457.2
gene 205/814 for chr21:	RNU6-113P
gene 206/814 for chr21:	LINC01549
gene 207/814 for chr21:	RPL39P40
gene 208/814 for chr21:	RN7SL163P
gene 209/814 for chr21:	CXADR
gene 210/814 for chr21:	BTF3L4P1
gene 211/814 for chr21:	BTG3
gene 212/814 for chr21:	AP000432.1
gene 213/814 for chr21:	AP000432.2
gene 214/814 for chr21:	AP000432.3
gene 215/814 for chr21:	C21orf91-OT1
gene 216/814 for chr21:	C21orf91
gene 217/814 for chr21:	AL109761.5
gene 218/814 for chr21:	CHODL-AS1
gene 219/814 for chr21:	RPL37P3
gene 220/814 for chr21:	CHODL
gene 221/814 for chr21:	AP000998.2
gene 222/814 for chr21:	TMPRSS15
gene 223/814 for chr21:	AL109763.1
gene 224/814 for chr21:	MIR548XHG
gene 225/814 for chr21:	AF240627.2
gene 226/814 for chr21:	MIR548X
gene 227/814 for chr21:	PPIAP22
gene 228/814 for chr21:	RP4-646P19.1
gene 229/814 for chr21:	AL157359.4
gene 230/814 for chr21:	AL157359.3
gene 231/814 for chr21:	AP000431.1
gene 232/814 for chr21:	AP000431.2
gene 233/814 for chr21:	SLC6A6P1
gene 234/814 for chr21:	AP000855.4
gene 235/814 for chr21:	RNU1-139P
gene 236/814 for chr21:	RPL37P4
gene 237/814 for chr21:	AP000403.3
gene 238/814 for chr21:	AP000568.2
gene 239/814 for chr21:	C1QBPP1
gene 240/814 for chr21:	AP000946.2
gene 241/814 for chr21:	AP001171.1
gene 242/814 for chr21:	RNU6-772P
gene 243/814 for chr21:	RN7SKP147
gene 244/814 for chr21:	FDPSP6
gene 245/814 for chr21:	KRT18P2
gene 246/814 for chr21:	RPS3AP1
gene 247/814 for chr21:	AP001506.1
gene 248/814 for chr21:	LINC00320
gene 249/814 for chr21:	PPIAP1
gene 250/814 for chr21:	NCAM2
gene 251/814 for chr21:	AP001136.2
gene 252/814 for chr21:	AF241725.4
gene 253/814 for chr21:	AF241725.6
gene 254/814 for chr21:	LINC00317
gene 255/814 for chr21:	LINC01425
gene 256/814 for chr21:	AP000472.3
gene 257/814 for chr21:	AP000472.2
gene 258/814 for chr21:	LINC00308
gene 259/814 for chr21:	AP000705.8
gene 260/814 for chr21:	AP000705.6
gene 261/814 for chr21:	RNU4-45P
gene 262/814 for chr21:	AP000705.7
gene 263/814 for chr21:	MAPK6PS2
gene 264/814 for chr21:	AP000959.2
gene 265/814 for chr21:	AP000949.1
gene 266/814 for chr21:	AP001255.2
gene 267/814 for chr21:	MIR6130
gene 268/814 for chr21:	ZNF299P
gene 269/814 for chr21:	MSANTD2P1
gene 270/814 for chr21:	RNU2-55P
gene 271/814 for chr21:	D21S2088E
gene 272/814 for chr21:	EEF1A1P1
gene 273/814 for chr21:	TUBAP
gene 274/814 for chr21:	AP000459.7
gene 275/814 for chr21:	AP000474.1
gene 276/814 for chr21:	AP000477.2
gene 277/814 for chr21:	AP000477.3
gene 278/814 for chr21:	AP000470.2
gene 279/814 for chr21:	AP000469.2
gene 280/814 for chr21:	AP000476.1
gene 281/814 for chr21:	AP000235.2
gene 282/814 for chr21:	AP000402.3
gene 283/814 for chr21:	AP000146.2
gene 284/814 for chr21:	AP001342.1
gene 285/814 for chr21:	AP000235.3
gene 286/814 for chr21:	AP000233.2
gene 287/814 for chr21:	RN7SKP236
gene 288/814 for chr21:	AP000233.3
gene 289/814 for chr21:	AP000233.4
gene 290/814 for chr21:	RNA5SP489
gene 291/814 for chr21:	RPL13AP7
gene 292/814 for chr21:	AP001340.3
gene 293/814 for chr21:	LINC00158
gene 294/814 for chr21:	AP000221.1
gene 295/814 for chr21:	MIR155HG
gene 296/814 for chr21:	AP000223.42
gene 297/814 for chr21:	MRPL39
gene 298/814 for chr21:	JAM2
gene 299/814 for chr21:	RNGTTP1
gene 300/814 for chr21:	FDX1P2
gene 301/814 for chr21:	ATP5J
gene 302/814 for chr21:	GABPA
gene 303/814 for chr21:	LLPHP2
gene 304/814 for chr21:	APP
gene 305/814 for chr21:	AP001442.2
gene 306/814 for chr21:	RNU6-123P
gene 307/814 for chr21:	AP001439.2
gene 308/814 for chr21:	AP000230.1
gene 309/814 for chr21:	RNU6-926P
gene 310/814 for chr21:	AP001595.1
gene 311/814 for chr21:	AP001596.6
gene 312/814 for chr21:	CYYR1-AS1
gene 313/814 for chr21:	KB-1466C5.1
gene 314/814 for chr21:	CYYR1
gene 315/814 for chr21:	ADAMTS1
gene 316/814 for chr21:	AP001601.2
gene 317/814 for chr21:	ADAMTS5
gene 318/814 for chr21:	MIR4759
gene 319/814 for chr21:	GPX1P2
gene 320/814 for chr21:	AP001604.3
gene 321/814 for chr21:	AP001605.4
gene 322/814 for chr21:	EIF4A1P1
gene 323/814 for chr21:	RPL10P1
gene 324/814 for chr21:	NCSTNP1
gene 325/814 for chr21:	AP001607.1
gene 326/814 for chr21:	LINC00113
gene 327/814 for chr21:	AJ006995.3
gene 328/814 for chr21:	LINC00314
gene 329/814 for chr21:	AL035610.1
gene 330/814 for chr21:	AL035610.2
gene 331/814 for chr21:	AF131217.1
gene 332/814 for chr21:	LINC00161
gene 333/814 for chr21:	U6
gene 334/814 for chr21:	N6AMT1
gene 335/814 for chr21:	HSPD1P7
gene 336/814 for chr21:	THUMPD1P1
gene 337/814 for chr21:	LTN1
gene 338/814 for chr21:	RPL23P2
gene 339/814 for chr21:	RWDD2B
gene 340/814 for chr21:	RP1-100J12.1
gene 341/814 for chr21:	USP16
gene 342/814 for chr21:	CCT8
gene 343/814 for chr21:	AF129075.5
gene 344/814 for chr21:	MAP3K7CL
gene 345/814 for chr21:	RPL12P9
gene 346/814 for chr21:	U3
gene 347/814 for chr21:	AF124730.4
gene 348/814 for chr21:	LINC00189
gene 349/814 for chr21:	BACH1
gene 350/814 for chr21:	GAPDHP14
gene 351/814 for chr21:	BACH1-IT1
gene 352/814 for chr21:	AP000240.9
gene 353/814 for chr21:	BACH1-AS1
gene 354/814 for chr21:	BACH1-IT2
gene 355/814 for chr21:	BACH1-IT3
gene 356/814 for chr21:	GRIK1
gene 357/814 for chr21:	RP11-313P22.1
gene 358/814 for chr21:	GRIK1-AS1
gene 359/814 for chr21:	AF096876.1
gene 360/814 for chr21:	CLDN17
gene 361/814 for chr21:	LINC00307
gene 362/814 for chr21:	CLDN8
gene 363/814 for chr21:	RPL8P2
gene 364/814 for chr21:	KRTAP24-1
gene 365/814 for chr21:	KRTAP25-1
gene 366/814 for chr21:	KRTAP26-1
gene 367/814 for chr21:	KRTAP27-1
gene 368/814 for chr21:	KRTAP23-1
gene 369/814 for chr21:	KRTAP13-6P
gene 370/814 for chr21:	KRTAP13-2
gene 371/814 for chr21:	MIR4327
gene 372/814 for chr21:	KRTAP13-1
gene 373/814 for chr21:	KRTAP13-3
gene 374/814 for chr21:	KRTAP13-4
gene 375/814 for chr21:	KRTAP13-5P
gene 376/814 for chr21:	KRTAP15-1
gene 377/814 for chr21:	KRTAP19-1
gene 378/814 for chr21:	KRTAP19-2
gene 379/814 for chr21:	KRTAP19-3
gene 380/814 for chr21:	KRTAP19-4
gene 381/814 for chr21:	KRTAP19-5
gene 382/814 for chr21:	KRTAP19-9P
gene 383/814 for chr21:	KRTAP19-10P
gene 384/814 for chr21:	AP000567.27
gene 385/814 for chr21:	KRTAP19-11P
gene 386/814 for chr21:	KRTAP19-6
gene 387/814 for chr21:	KRTAP19-7
gene 388/814 for chr21:	KRTAP22-2
gene 389/814 for chr21:	KRTAP6-3
gene 390/814 for chr21:	KRTAP6-2
gene 391/814 for chr21:	KRTAP22-1
gene 392/814 for chr21:	KRTAP6-1
gene 393/814 for chr21:	KRTAP20-1
gene 394/814 for chr21:	KRTAP20-4
gene 395/814 for chr21:	KRTAP20-2
gene 396/814 for chr21:	KRTAP20-3
gene 397/814 for chr21:	KRTAP21-3
gene 398/814 for chr21:	KRTAP21-4P
gene 399/814 for chr21:	KRTAP21-2
gene 400/814 for chr21:	KRTAP21-1
gene 401/814 for chr21:	AP000244.11
gene 402/814 for chr21:	KRTAP8-2P
gene 403/814 for chr21:	KRTAP8-3P
gene 404/814 for chr21:	KRTAP8-1
gene 405/814 for chr21:	KRTAP7-1
gene 406/814 for chr21:	KRTAP11-1
gene 407/814 for chr21:	KRTAP19-8
gene 408/814 for chr21:	UBE3AP2
gene 409/814 for chr21:	TIAM1
gene 410/814 for chr21:	AP000563.2
gene 411/814 for chr21:	AP000251.3
gene 412/814 for chr21:	FBXW11P1
gene 413/814 for chr21:	AP000253.1
gene 414/814 for chr21:	SOD1
gene 415/814 for chr21:	SNORA81
gene 416/814 for chr21:	AP000254.8
gene 417/814 for chr21:	SCAF4
gene 418/814 for chr21:	HMGN1P2
gene 419/814 for chr21:	AP000255.6
gene 420/814 for chr21:	TPT1P1
gene 421/814 for chr21:	HUNK
gene 422/814 for chr21:	HUNK-AS1
gene 423/814 for chr21:	LINC00159
gene 424/814 for chr21:	AP000265.1
gene 425/814 for chr21:	MIS18A
gene 426/814 for chr21:	MIS18A-AS1
gene 427/814 for chr21:	MRAP
gene 428/814 for chr21:	AP000266.7
gene 429/814 for chr21:	URB1
gene 430/814 for chr21:	SNORA80A
gene 431/814 for chr21:	URB1-AS1
gene 432/814 for chr21:	EVA1C
gene 433/814 for chr21:	EXOSC3P1
gene 434/814 for chr21:	SNORA33
gene 435/814 for chr21:	RNA5SP490
gene 436/814 for chr21:	LINC00846
gene 437/814 for chr21:	TCP10L
gene 438/814 for chr21:	AP000275.65
gene 439/814 for chr21:	C21orf59
gene 440/814 for chr21:	OR7E23P
gene 441/814 for chr21:	AP000275.64
gene 442/814 for chr21:	SYNJ1
